BINCODE	GO.TERM
10.1.2.1	GO:0046872
10.1.2.1	GO:0046914
10.1.2.1	GO:0048037
10.1.2.1	GO:0048038
10.1.2.1	GO:0050789
10.1.2.1	GO:0050794
10.1.2.1	GO:0052593
10.1.2.1	GO:0052594
10.1.2.1	GO:0052595
10.1.2.1	GO:0052596
10.1.2.1	GO:0055114
10.1.2.1	GO:0065007
10.1.2.1	GO:0071704
10.1.2.1	GO:1901564
10.2.1.1	GO:0003674
10.2.1.1	GO:0003824
10.2.1.1	GO:0004014
10.2.1.1	GO:0006139
10.2.1.1	GO:0006557
10.2.1.1	GO:0006576
10.2.1.1	GO:0006595
10.2.1.1	GO:0006596
10.2.1.1	GO:0006597
10.2.1.1	GO:0006725
10.2.1.1	GO:0006790
10.2.1.1	GO:0006807
10.2.1.1	GO:0008150
10.2.1.1	GO:0008152
10.2.1.1	GO:0008215
10.2.1.1	GO:0008216
10.2.1.1	GO:0008295
10.2.1.1	GO:0009058
10.2.1.1	GO:0009116
10.2.1.1	GO:0009119
10.2.1.1	GO:0009163
10.2.1.1	GO:0009308
10.2.1.1	GO:0009309
10.2.1.1	GO:0009987
10.2.1.1	GO:0016829
10.2.1.1	GO:0016830
10.2.1.1	GO:0016831
10.2.1.1	GO:0017144
10.2.1.1	GO:0018130
10.2.1.1	GO:0019438
10.2.1.1	GO:0034404
10.2.1.1	GO:0034641
10.2.1.1	GO:0034654
10.2.1.1	GO:0042278
10.2.1.1	GO:0042401
10.2.1.1	GO:0042451
10.2.1.1	GO:0042455
10.2.1.1	GO:0044106
10.2.1.1	GO:0044237
10.2.1.1	GO:0044238
10.2.1.1	GO:0044249
10.2.1.1	GO:0044271
10.2.1.1	GO:0044272
10.2.1.1	GO:0044281
10.2.1.1	GO:0044283
10.2.1.1	GO:0046128
10.2.1.1	GO:0046129
10.2.1.1	GO:0046483
10.2.1.1	GO:0046499
10.2.1.1	GO:0055086
10.2.1.1	GO:0071704
